,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Edirne,6904,1623,3367,1914,334075,407763,0.49%,1.01%,0.020666018109705905,0.40%,0.83%,0.016931403781117953
Elazığ,8849,3190,4201,1458,432965,587960,0.74%,0.97%,0.020438141651172727,0.54%,0.71%,0.015050343560786448
Erzincan,3749,1028,1798,923,180234,234431,0.57%,1.00%,0.020800736819911892,0.44%,0.77%,0.015991912332413375
Erzurum,9301,3443,4442,1416,526063,758279,0.65%,0.84%,0.017680391892225835,0.45%,0.59%,0.012265933778991638
Eskişehir,11840,2764,6573,2503,698642,888828,0.40%,0.94%,0.016947163210914887,0.31%,0.74%,0.013320912482505052
Gaziantep,30691,9757,18550,2384,1317351,2101157,0.74%,1.41%,0.023297511445317155,0.46%,0.88%,0.014606714300740021
Giresun,9012,2188,4702,2122,359477,448721,0.61%,1.31%,0.025069754115005966,0.49%,1.05%,0.02008374914479153
Gümüşhane,2643,757,1238,648,110911,141702,0.68%,1.12%,0.023829917681744823,0.53%,0.87%,0.018651818605241986
Hakkari,3371,770,2506,95,181606,280514,0.42%,1.38%,0.0185621620431043,0.27%,0.89%,0.012017225521720841
Hatay,29547,9762,17255,2530,1120447,1659320,0.87%,1.54%,0.02637072525518833,0.59%,1.04%,0.01780669189788588
Isparta,8284,2137,4289,1858,342106,440304,0.62%,1.25%,0.02421471707599399,0.49%,0.97%,0.018814273774483085
Mersin,32793,10048,17735,5010,1356886,1868757,0.74%,1.31%,0.024167837239090093,0.54%,0.95%,0.017548027913741594
İstanbul,189938,59258,108469,22211,11520854,15462452,0.51%,0.94%,0.016486451438408992,0.38%,0.70%,0.012283821479284139
İzmir,66040,17070,36116,12854,3429827,4394694,0.50%,1.05%,0.01925461546602788,0.39%,0.82%,0.015027212361088166
Kars,5315,1644,3110,561,194225,284923,0.85%,1.60%,0.02736516926245334,0.58%,1.09%,0.018654162703607643
Kastamonu,6079,1456,3232,1391,302774,376377,0.48%,1.07%,0.020077681703184552,0.39%,0.86%,0.016151358876870796
Kayseri,22271,6486,12101,3684,1016718,1421455,0.64%,1.19%,0.021904795626712617,0.46%,0.85%,0.015667748891101018
Kırklareli,6638,1408,3892,1338,294199,361737,0.48%,1.32%,0.022562959085516945,0.39%,1.08%,0.01835034845758106
Kırşehir,4137,1052,2184,901,185308,243042,0.57%,1.18%,0.022324994063936798,0.43%,0.90%,0.017021749327276767
Kocaeli,29521,8863,16909,3749,1453509,1997258,0.61%,1.16%,0.020310159758212713,0.44%,0.85%,0.01478076442803083
Konya,36313,11676,18572,6065,1611865,2250020,0.72%,1.15%,0.02252856163512453,0.52%,0.83%,0.016138967653620856
Kütahya,9365,2406,5222,1737,454645,576688,0.53%,1.15%,0.020598488930924128,0.42%,0.91%,0.016239283633437837
Malatya,14229,4384,7407,2438,585623,806156,0.75%,1.26%,0.02429720144188326,0.54%,0.92%,0.017650429941599394
Manisa,29611,7579,17638,4394,1101092,1450616,0.69%,1.60%,0.026892394096042837,0.52%,1.22%,0.020412707429119766
Kahramanmaraş,21524,6115,13155,2254,785567,1168163,0.78%,1.67%,0.02739931794487294,0.52%,1.13%,0.018425510823403924
Mardin,11495,5509,5312,674,517582,854716,1.06%,1.03%,0.022209041272687226,0.64%,0.62%,0.013448911685284937
Muğla,18887,4743,10428,3716,787329,1000773,0.60%,1.32%,0.023988701038574724,0.47%,1.04%,0.018872411625813247
Muş,7249,3091,3669,489,244220,411117,1.27%,1.50%,0.02968225370567521,0.75%,0.89%,0.017632450129768412
Nevşehir,5350,1559,2816,975,228791,304962,0.68%,1.23%,0.02338378694966148,0.51%,0.92%,0.017543169312898
Niğde,6743,2048,3544,1151,260708,362071,0.79%,1.36%,0.025864185218712123,0.57%,0.98%,0.0186234191636447
Ordu,11411,2732,6348,2331,589401,761400,0.46%,1.08%,0.019360333626851668,0.36%,0.83%,0.014986866298923037
Rize,6989,1961,3685,1343,268906,344359,0.73%,1.37%,0.02599049481975114,0.57%,1.07%,0.02029567979927924
Sakarya,15610,4939,7893,2778,777027,1042649,0.64%,1.02%,0.020089392003109288,0.47%,0.76%,0.014971481294280243
Samsun,23409,6672,12416,4321,1030199,1356079,0.65%,1.21%,0.022722794333910244,0.49%,0.92%,0.017262268643640968
Siirt,5901,3280,2400,221,197181,331070,1.66%,1.22%,0.029926818506854108,0.99%,0.72%,0.017824025130637026
Sinop,3421,730,1866,825,172933,216460,0.42%,1.08%,0.019782227799205472,0.34%,0.86%,0.01580430564538483
Sivas,12042,3178,6579,2285,478755,635889,0.66%,1.37%,0.025152739919165334,0.50%,1.03%,0.018937267353264484
Tekirdağ,16740,4373,9632,2735,809854,1081065,0.54%,1.19%,0.020670392441106668,0.40%,0.89%,0.015484730335363739
Tokat,10625,3057,5377,2191,457272,597861,0.67%,1.18%,0.02323562343637922,0.51%,0.90%,0.01777168940606596
Trabzon,11491,3274,6062,2155,621825,811901,0.53%,0.97%,0.01847947573674265,0.40%,0.75%,0.014153203407804646
Tunceli,1875,422,1163,290,68980,83443,0.61%,1.69%,0.02718179182371702,0.51%,1.39%,0.02247042891554714
Şanlıurfa,22565,11139,10234,1192,1157716,2115256,0.96%,0.88%,0.01949096324141672,0.53%,0.48%,0.010667739507652974
Uşak,5806,1423,3381,1002,286295,369433,0.50%,1.18%,0.02027978134441747,0.39%,0.92%,0.015715975562551263
Van,19113,6861,11174,1078,693216,1149342,0.99%,1.61%,0.02757149286802382,0.60%,0.97%,0.016629514974655063
Yozgat,7670,2284,3751,1635,315031,419095,0.73%,1.19%,0.024346810313905617,0.54%,0.90%,0.01830133979169401
Zonguldak,9758,2411,5369,1978,466537,591204,0.52%,1.15%,0.02091581160765384,0.41%,0.91%,0.016505301046677627
Aksaray,7757,2675,4054,1028,299426,423011,0.89%,1.35%,0.02590623392758144,0.63%,0.96%,0.018337584601818866
Bayburt,1311,424,616,271,62060,81910,0.68%,0.99%,0.021124718014824365,0.52%,0.75%,0.016005371749481138
Karaman,4732,1403,2430,899,188095,254919,0.75%,1.29%,0.02515750019936734,0.55%,0.95%,0.018562759150945986
Kırıkkale,5307,1342,3148,817,214988,278703,0.62%,1.46%,0.024685098703183434,0.48%,1.13%,0.019041775653652813
Batman,7886,3822,3501,563,375020,620278,1.02%,0.93%,0.02102821182870247,0.62%,0.56%,0.012713654200213453
Şırnak,8701,2872,5531,298,307348,537762,0.93%,1.80%,0.02830992881033877,0.53%,1.03%,0.016180020157616194
Bartın,2784,629,1617,538,159253,198979,0.39%,1.02%,0.017481617300772984,0.32%,0.81%,0.01399142623090879
Ardahan,2198,621,1131,446,71678,96161,0.87%,1.58%,0.030664918105973937,0.65%,1.18%,0.022857499402044488
Iğdır,2819,1055,1495,269,130907,201314,0.81%,1.14%,0.021534371729548456,0.52%,0.74%,0.014003000288107137
Yalova,3648,1094,1713,841,210810,276050,0.52%,0.81%,0.01730468194108439,0.40%,0.62%,0.013214997283100887
Karabük,3871,1018,2146,707,195265,243614,0.52%,1.10%,0.01982434127979925,0.42%,0.88%,0.015889891385552555
Kilis,2385,906,1269,210,94522,142792,0.96%,1.34%,0.02523222107022704,0.63%,0.89%,0.016702616393075242
Osmaniye,10718,3385,5729,1604,378009,548556,0.90%,1.52%,0.02835382226349108,0.62%,1.04%,0.019538570355624587
Düzce,6038,1615,3418,1005,298284,395679,0.54%,1.15%,0.020242453500690618,0.41%,0.86%,0.015259844469885942
