,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Malatya,12499,2889,7548,2062,585623,806156,0.49%,1.29%,0.021343082495052276,0.36%,0.94%,0.015504443308739251
Manisa,15842,2532,10313,2997,1101092,1450616,0.23%,0.94%,0.014387535283155268,0.17%,0.71%,0.010920877751244989
Kahramanmaraş,10556,2778,6489,1289,785567,1168163,0.35%,0.83%,0.01343742799786651,0.24%,0.56%,0.009036410158513837
Mardin,5924,2414,3153,357,517582,854716,0.47%,0.61%,0.011445529404036462,0.28%,0.37%,0.006930957183438709
Muğla,21960,3656,13473,4831,787329,1000773,0.46%,1.71%,0.027891770784513208,0.37%,1.35%,0.021943038031601574
Muş,1924,813,967,144,244220,411117,0.33%,0.40%,0.007878142658258947,0.20%,0.24%,0.00467993296312242
Nevşehir,4672,906,2991,775,228791,304962,0.40%,1.31%,0.020420383668938027,0.30%,0.98%,0.01531994150090831
Niğde,5352,1018,3310,1024,260708,362071,0.39%,1.27%,0.020528714116943094,0.28%,0.91%,0.014781631227024535
Ordu,13594,2564,8304,2726,589401,761400,0.44%,1.41%,0.023064093885147803,0.34%,1.09%,0.017853953244024168
Rize,4674,863,2795,1016,268906,344359,0.32%,1.04%,0.017381538530192708,0.25%,0.81%,0.013573044410048815
Sakarya,13687,2674,8597,2416,777027,1042649,0.34%,1.11%,0.017614574525724333,0.26%,0.82%,0.013127140581346168
Samsun,16791,3115,10435,3241,1030199,1356079,0.30%,1.01%,0.016298792757515782,0.23%,0.77%,0.012382021991344161
Siirt,3090,1606,1274,210,197181,331070,0.81%,0.65%,0.015670881068662802,0.49%,0.38%,0.009333373606790105
Sinop,2190,370,1182,638,172933,216460,0.21%,0.68%,0.012663864039830455,0.17%,0.55%,0.010117342696110136
Sivas,9425,1710,5778,1937,478755,635889,0.36%,1.21%,0.019686478470198745,0.27%,0.91%,0.014821769208147963
Tekirdağ,14417,2157,9415,2845,809854,1081065,0.27%,1.16%,0.017801974183000887,0.20%,0.87%,0.013335923371860157
Tokat,9723,1834,5835,2054,457272,597861,0.40%,1.28%,0.02126305568676849,0.31%,0.98%,0.016262977514840404
Trabzon,11566,2010,7181,2375,621825,811901,0.32%,1.15%,0.01860008844932256,0.25%,0.88%,0.014245579202390439
Tunceli,261,30,154,77,68980,83443,0.04%,0.22%,0.003783705421861409,0.04%,0.18%,0.003127883705044162
Şanlıurfa,11832,5610,5399,823,1157716,2115256,0.48%,0.47%,0.01022012306990661,0.27%,0.26%,0.005593649184779526
Uşak,6542,936,4281,1325,286295,369433,0.33%,1.50%,0.02285055624443319,0.25%,1.16%,0.017708217728248425
Van,12270,4932,6475,863,693216,1149342,0.71%,0.93%,0.017700110787979503,0.43%,0.56%,0.010675673559306107
Yozgat,5827,1015,3592,1220,315031,419095,0.32%,1.14%,0.018496592398843287,0.24%,0.86%,0.01390376883522829
Zonguldak,9865,1538,6371,1956,466537,591204,0.33%,1.37%,0.021145161048319854,0.26%,1.08%,0.01668628764352068
Aksaray,5606,1338,3335,933,299426,423011,0.45%,1.11%,0.018722489029008835,0.32%,0.79%,0.013252610452210463
Bayburt,1146,228,714,204,62060,81910,0.37%,1.15%,0.018466000644537545,0.28%,0.87%,0.01399096569405445
Karaman,3403,695,2077,631,188095,254919,0.37%,1.10%,0.018091921635343844,0.27%,0.81%,0.013349338417301182
Kırıkkale,4482,804,2909,769,214988,278703,0.37%,1.35%,0.020847675219081995,0.29%,1.04%,0.016081635289178803
Batman,3390,1466,1649,275,375020,620278,0.39%,0.44%,0.009039517892379074,0.24%,0.27%,0.005465291369353742
Şırnak,7035,2763,4107,165,307348,537762,0.90%,1.34%,0.02288936319741791,0.51%,0.76%,0.013081995380856215
Bartın,3384,489,2162,733,159253,198979,0.31%,1.36%,0.021249207236284404,0.25%,1.09%,0.017006819815156372
Ardahan,2191,669,1079,443,71678,96161,0.93%,1.51%,0.03056725913111415,0.70%,1.12%,0.022784704817961545
Iğdır,1697,571,898,228,130907,201314,0.44%,0.69%,0.012963401498773938,0.28%,0.45%,0.008429617413592695
Yalova,4762,978,2610,1174,210810,276050,0.46%,1.24%,0.022589061239979127,0.35%,0.95%,0.01725049809817062
Karabük,3806,625,2373,808,195265,243614,0.32%,1.22%,0.019491460323150592,0.26%,0.97%,0.015623075849499618
Kilis,2452,856,1388,208,94522,142792,0.91%,1.47%,0.025941050760669472,0.60%,0.97%,0.017171830354641718
Osmaniye,4103,896,2425,782,378009,548556,0.24%,0.64%,0.010854238920237349,0.16%,0.44%,0.0074796374481365625
Düzce,6244,1247,3886,1111,298284,395679,0.42%,1.30%,0.020933070496573735,0.32%,0.98%,0.01578046851109106
