,toplam,1.doz,2.doz,3.doz,18üstü,genel,1dozoran,2dozoran,toplamoran,g1dozoran,g2dozoran,gtoplamoran
Sakarya,6688,1517,4464,707,777027,1042649,0.20%,0.57%,0.008607165516770975,0.15%,0.43%,0.006414430935051009
Samsun,8963,2258,5544,1161,1030199,1356079,0.22%,0.54%,0.008700260823394316,0.17%,0.41%,0.006609496939337605
Siirt,1267,732,483,52,197181,331070,0.37%,0.24%,0.006425568386406398,0.22%,0.15%,0.003826985229709729
Sinop,1431,287,791,353,172933,216460,0.17%,0.46%,0.008274881023286475,0.13%,0.37%,0.0066109211863623766
Sivas,4178,1001,2480,697,478755,635889,0.21%,0.52%,0.008726801808858393,0.16%,0.39%,0.006570329098317474
Tekirdağ,8540,1549,6080,911,809854,1081065,0.19%,0.75%,0.010545110600182254,0.14%,0.56%,0.007899617506810414
Tokat,3111,667,1937,507,457272,597861,0.15%,0.42%,0.006803390542171836,0.11%,0.32%,0.005203550658096113
Trabzon,4078,964,2548,566,621825,811901,0.16%,0.41%,0.006558115225344751,0.12%,0.31%,0.005022779870944857
Tunceli,238,61,138,39,68980,83443,0.09%,0.20%,0.003450275442157147,0.07%,0.17%,0.002852246443680117
Şanlıurfa,4915,2413,2260,242,1157716,2115256,0.21%,0.20%,0.004245428066987068,0.11%,0.11%,0.0023235958200804063
Uşak,2495,487,1821,187,286295,369433,0.17%,0.64%,0.00871478719502611,0.13%,0.49%,0.006753592667682638
Van,4188,1672,2279,237,693216,1149342,0.24%,0.33%,0.006041407007339704,0.15%,0.20%,0.0036438240314893215
Yozgat,1576,363,926,287,315031,419095,0.12%,0.29%,0.005002682275712549,0.09%,0.22%,0.0037604838998317805
Zonguldak,4210,850,2869,491,466537,591204,0.18%,0.61%,0.009023935936485209,0.14%,0.49%,0.007121061427189261
Aksaray,1560,478,906,176,299426,423011,0.16%,0.30%,0.005209968406217229,0.11%,0.21%,0.0036878473609433323
Bayburt,315,88,180,47,62060,81910,0.14%,0.29%,0.005075733161456655,0.11%,0.22%,0.0038456842876327677
Karaman,1164,259,786,119,188095,254919,0.14%,0.42%,0.006188362263749701,0.10%,0.31%,0.004566156308474457
Kırıkkale,903,219,582,102,214988,278703,0.10%,0.27%,0.00420023443168921,0.08%,0.21%,0.0032400081807515526
Batman,2262,1083,1041,138,375020,620278,0.29%,0.28%,0.006031678310490107,0.17%,0.17%,0.0036467519402590453
Şırnak,2588,860,1653,75,307348,537762,0.28%,0.54%,0.0084204224527246,0.16%,0.31%,0.0048125378885082995
Bartın,1206,177,922,107,159253,198979,0.11%,0.58%,0.007572855770377952,0.09%,0.46%,0.006060941104337644
Ardahan,361,179,147,35,71678,96161,0.25%,0.21%,0.005036412846340579,0.19%,0.15%,0.0037541206934204093
Iğdır,838,386,399,53,130907,201314,0.29%,0.30%,0.00640149113492785,0.19%,0.20%,0.0041626513804305714
Yalova,1946,519,1050,377,210810,276050,0.25%,0.50%,0.009231061145106969,0.19%,0.38%,0.007049447563847129
Karabük,1661,336,1069,256,195265,243614,0.17%,0.55%,0.00850638875374491,0.14%,0.44%,0.0068181631597527236
Kilis,534,160,343,31,94522,142792,0.17%,0.36%,0.005649478428302406,0.11%,0.24%,0.0037397053056193626
Osmaniye,2116,616,1269,231,378009,548556,0.16%,0.34%,0.005597750318114119,0.11%,0.23%,0.0038574001560460554
Düzce,1770,394,1243,133,298284,395679,0.13%,0.42%,0.005933942149092811,0.10%,0.31%,0.00447332307249058
