,toplam,1.doz,2.doz,3.doz,18üstü,1dozoran,2dozoran,toplamoran
Van,8232,5651,1649,932,693216,0.82%,0.24%,0.011875086553108987
Yozgat,3869,1352,1401,1116,315031,0.43%,0.44%,0.01228133104361158
Zonguldak,6818,2113,2534,2171,466537,0.45%,0.54%,0.014614060621129727
Aksaray,3157,1313,1116,728,299426,0.44%,0.37%,0.01054350657591525
Bayburt,848,331,236,281,62060,0.53%,0.38%,0.013664195939413471
Karaman,2682,926,930,826,188095,0.49%,0.49%,0.01425875222626864
Kırıkkale,3023,860,1097,1066,214988,0.40%,0.51%,0.014061249930228665
Batman,3586,2429,778,379,375020,0.65%,0.21%,0.009562156684976801
Şırnak,4832,3771,875,186,307348,1.23%,0.28%,0.015721592461964938
Bartın,2858,832,883,1143,159253,0.52%,0.55%,0.017946286726152727
Ardahan,1500,640,407,453,71678,0.89%,0.57%,0.020926923184240633
Iğdır,2032,1164,506,362,130907,0.89%,0.39%,0.015522470150564904
Yalova,3577,781,1617,1179,210810,0.37%,0.77%,0.016967885773919642
Karabük,2443,682,796,965,195265,0.35%,0.41%,0.0125112027245026
Kilis,1475,798,497,180,94522,0.84%,0.53%,0.01560483273735215
Osmaniye,5769,2433,1649,1687,378009,0.64%,0.44%,0.015261541391871622
Düzce,3505,1084,1245,1176,298284,0.36%,0.42%,0.011750546459079267
